"city","population"
"Aeugst am Albis",1955
"Affoltern am Albis",11276
"Bonstetten",5205
"Hausen am Albis",3376
"Hedingen",3511
"Kappel am Albis",922
"Knonau",1982
"Maschwanden",641
"Mettmenstetten",4420
"Obfelden",4833
"Ottenbach",2480
"Rifferswil",957
"Stallikon",3309
"Wettswil am Albis",4579
"Adlikon",561
"Benken (ZH)",823
"Berg am Irchel",587
"Buch am Irchel",899
"Dachsen",1960
"Dorf",634
"Feuerthalen",3464
"Flaach",1331
"Flurlingen",1414
"Andelfingen",2063
"Henggart",2254
"Humlikon",483
"Kleinandelfingen",2013
"Laufen-Uhwiesen",1558
"Marthalen",1968
"Oberstammheim",1130
"Ossingen",1348
"Rheinau",1345
"Thalheim an der Thur",899
"Trüllikon",988
"Truttikon",464
"Unterstammheim",867
"Volken",310
"Waltalingen",675
"Bachenbülach",4019
"Bassersdorf",11243
"Bülach",17975
"Dietlikon",7170
"Eglisau",4709
"Embrach",8986
"Freienstein-Teufen",2317
"Glattfelden",4550
"Hochfelden",2022
"Höri",2619
"Hüntwangen",1000
"Kloten",18402
"Lufingen",1833
"Nürensdorf",5274
"Oberembrach",1030
"Opfikon",16116
"Rafz",4098
"Rorbas",2501
"Wallisellen",14188
"Wasterkingen",547
"Wil (ZH)",1298
"Winkel",4088
"Bachs",574
"Boppelsen",1276
"Buchs (ZH)",6068
"Dällikon",3733
"Dänikon",1928
"Dielsdorf",5790
"Hüttikon",669
"Neerach",3029
"Niederglatt",4580
"Niederhasli",8723
"Niederweningen",2760
"Oberglatt",6063
"Oberweningen",1754
"Otelfingen",2755
"Regensberg",491
"Regensdorf",16975
"Rümlang",7019
"Schleinikon",718
"Schöfflisdorf",1375
"Stadel",2015
"Steinmaur",3279
"Weiach",1083
"Bäretswil",4934
"Bubikon",6854
"Dürnten",7164
"Fischenthal",2329
"Gossau (ZH)",9725
"Grüningen",3229
"Hinwil",10615
"Rüti (ZH)",11968
"Seegräben",1305
"Wald (ZH)",9343
"Wetzikon",23274
"Adliswil",18037
"Hirzel",2134
"Horgen",19282
"Hütten",897
"Kilchberg (ZH)",7675
"Langnau am Albis",7254
"Oberrieden",4979
"Richterswil",12832
"Rüschlikon",5425
"Schönenberg (ZH)",1896
"Thalwil",17340
"Wädenswil",20967
"Erlenbach (ZH)",5325
"Herrliberg",6148
"Hombrechtikon",8119
"Küsnacht (ZH)",13518
"Männedorf",10470
"Meilen",12816
"Oetwil am See",4557
"Stäfa",13876
"Uetikon am See",5931
"Zumikon",5167
"Zollikon",12163
"Bauma",4224
